Periodo;Indice nacional de precios al consumidor Mensual;EMIM;Indice base 2003;INPC;REMPO;VENTAS;LPR;LVENTA;LINGR
2007/01;83.88213471;93.7;117.37502;100;100;100;4.605170186;4.605170186;4.605170186
2007/02;84.11659644;93.2;106.69289;100.2795133;99.46638207;90.89914532;4.60796142;4.599819718;4.509750599
2007/03;84.29864909;99.4;113.71794;100.4965472;106.0832444;96.88427742;4.610123371;4.66422411;4.57351725
2007/04;84.24830877;97.2;107.46901;100.436534;103.7353255;91.5603763;4.609526026;4.641842708;4.516998605
2007/05;83.83731114;100.5;116.46733;99.94656363;107.2572038;99.22667532;4.604635679;4.675229724;4.597406883
2007/06;83.93799177;99.2;115.16364;100.0665899;105.8697972;98.1159705;4.605835864;4.662210011;4.586150152
2007/07;84.29451153;95.9;117.57959;100.4916146;102.3479189;100.1742875;4.610074287;4.628377979;4.606911544
2007/08;84.63792901;99.9;119.71347;100.9010194;106.6168623;101.9922893;4.61414003;4.669241682;4.624897216
2007/09;85.29511147;95.8;113.83135;101.6844788;102.2411953;96.98089934;4.621874674;4.627334682;4.574514045
2007/10;85.62749547;99.2;119.4399;102.08073;105.8697972;101.7592159;4.625763971;4.662210011;4.622609394
2007/11;86.23157924;97.3;120.98947;102.8008879;103.8420491;103.0794031;4.63279399;4.642870986;4.635499595
2007/12;86.588099;120.5;149.43248;103.2259125;128.601921;127.3119953;4.636919912;4.85672175;4.84664073
2008/01;86.98944233;95.9;121.92867;103.7043736;102.3479189;103.8795734;4.641544289;4.628377979;4.64323228
2008/02;87.24803983;95.9;113.14783;104.0126603;102.3479189;96.39856078;4.644512625;4.628377979;4.568491272
2008/03;87.88039693;97.8;113.10672;104.7665242;104.375667;96.3635363;4.651734295;4.647996574;4.568127876
2008/04;88.080379;100;115.34277;105.0049326;106.7235859;98.26858389;4.654007326;4.670242183;4.587704382
2008/05;87.98521512;99.6;120.42841;104.8914831;106.2966916;102.6013968;4.652926321;4.666234161;4.630851547
2008/06;88.34932041;99.4;116.98764;105.3255508;106.0832444;99.66996385;4.657056037;4.66422411;4.601864366
2008/07;88.84169006;98.6;120.99217;105.9125288;105.2294557;103.0817034;4.662613553;4.656143258;4.635521911
2008/08;89.35474751;96.9;119.82064;106.5241697;103.4151547;102.083595;4.668371905;4.638751516;4.625792036
2008/09;89.96365843;97.8;112.27614;107.2500822;104.375667;95.65590702;4.675163324;4.647996574;4.560757451
2008/10;90.57670692;101.4;118.14242;107.9809273;108.2177161;100.6538018;4.681954613;4.684145088;4.611686924
2008/11;91.60626978;96.1;117.8179;109.2083196;102.5613661;100.3773205;4.693257248;4.630461313;4.60893629
2008/12;92.24069566;121.6;144.53408;109.9646498;129.7758805;123.1387053;4.700158949;4.865808966;4.813311406
2009/01;92.4544696;95.1;116.34098;110.2195002;101.4941302;99.1190289;4.702473834;4.620000966;4.59632144
2009/02;92.65858923;93.9;103.39778;110.4628412;100.2134472;88.09181034;4.704679185;4.607302383;4.47837957
2009/03;93.19164489;98.9;112.58234;111.0983229;105.5496265;95.91678025;4.710415601;4.659181235;4.563480943
2009/04;93.51782254;99.2;108.6568;111.4871753;105.8697972;92.57233779;4.713909564;4.662210011;4.527990369
2009/05;93.24543317;97.2;110.3225;111.1624466;103.7353255;93.99146428;4.710992614;4.641842708;4.543203973
2009/06;93.41714191;97.8;110.96876;111.367149;104.375667;94.54205844;4.712832391;4.647996574;4.549044798
2009/07;93.67160186;99.6;115.15455;111.6705031;106.2966916;98.10822609;4.715552599;4.666234161;4.586071217
2009/08;93.89571969;95.9;113.19385;111.937685;102.3479189;96.43776845;4.717942332;4.628377979;4.568897914
2009/09;94.36671195;97.5;107.15347;112.4991779;104.0554963;91.29154568;4.722945914;4.644924375;4.514058184
2009/10;94.6522036;98.7;112.65115;112.8395265;105.3361793;95.97540431;4.72596669;4.657156943;4.564091954
2009/11;95.14319406;95.3;116.01515;113.4248602;101.7075774;98.84143151;4.731140593;4.622101807;4.593516864
2009/12;95.53695186;122.7;146.81447;113.8942782;130.9498399;125.0815293;4.735270634;4.874814348;4.828965759
2010/01;96.57547944;94.6;114.22337;115.1323578;100.9605123;97.31488864;4.746082404;4.614729473;4.577951995
2010/02;97.13405005;93;105.74088;115.7982572;99.2529349;90.08806133;4.751849515;4.59767149;4.500787651
2010/03;97.8236434;100.2;115.16349;116.6203551;106.9370331;98.11584271;4.758923831;4.672240185;4.586148849
2010/04;97.5119472;97.9;108.56825;116.2487669;104.4823906;92.49689585;4.755732437;4.649018546;4.527175086
2010/05;96.89751953;96.5;115.81028;115.5162775;102.9882604;98.66688841;4.749411451;4.634615005;4.591749413
2010/06;96.86717743;98.3;112.58978;115.4801052;104.909285;95.92311891;4.749098266;4.653096024;4.563547026
2010/07;97.0775034;97.6;117.43258;115.7308451;104.1622199;100.0490394;4.751267194;4.64594949;4.60566046
2010/08;97.34713439;96.6;118.21585;116.0522854;103.094984;100.716362;4.754040826;4.635650738;4.612308269
2010/09;97.85743347;97.4;111.51412;116.6606379;103.9487727;95.00668882;4.75926919;4.643898207;4.553947298
2010/10;98.46151724;95.7;117.62887;117.3807958;102.1344717;100.2162726;4.765423315;4.626290295;4.607330577
2010/11;99.25041203;95;118.7467;118.3212759;101.3874066;101.1686303;4.773403602;4.618948888;4.616788731
2010/12;99.74209209;120.8;150.6521;118.9074318;128.9220918;128.351075;4.778345306;4.859208282;4.854769283
2011/01;100.228;93.8;117.61447;119.4867064;100.1067236;100.2040042;4.783205121;4.606236853;4.60720815
2011/02;100.604;92.6;108.60719;119.9349544;98.82604055;92.53007156;4.786949549;4.593361138;4.52753369
2011/03;100.797;100.1;116.3292;120.1650391;106.8303095;99.1089927;4.788866124;4.671241683;4.596220181
2011/04;100.789;95.4;113.91988;120.1555019;101.814301;97.05632425;4.788786753;4.623150575;4.575291472
2011/05;100.046;97.1;116.93477;119.2697353;103.6286019;99.62492019;4.781387611;4.640813372;4.601412336
2011/06;100.041;99.3;117.96556;119.2637745;105.9765208;100.5031224;4.781337633;4.663217568;4.610188796
2011/07;100.521;96.1;121.04564;119.836006;102.5613661;103.1272583;4.786124192;4.630461313;4.635963743
2011/08;100.68;98.7;121.43855;120.0255577;105.3361793;103.4620058;4.787704701;4.657156943;4.639204452
2011/09;100.927;98.6;116.72986;120.3200185;105.2294557;99.45034301;4.790155014;4.656143258;4.599658454
2011/10;101.608;96.9;121.1476;121.131872;103.4151547;103.2141251;4.796879803;4.638751516;4.636805715
2011/11;102.707;97;127.59606;122.4420437;103.5218783;108.7080198;4.807637805;4.639782975;4.688665571
2011/12;103.551;121.1;155.89404;123.4482174;129.2422625;132.8170509;4.815821776;4.861688647;4.888972624
2012/01;104.284;94.4;122.73193;124.3220626;100.7470651;104.5639268;4.822875477;4.61261307;4.649798624
2012/02;104.496;95.5;116.90451;124.5747982;101.9210245;99.59913958;4.824906324;4.624198244;4.601153526
2012/03;104.556;101.1;121.32628;124.6463271;107.8975454;103.3663551;4.825480344;4.681182123;4.638279523
2012/04;104.228;96.9;116.79972;124.2553022;103.4151547;99.50986164;4.822338338;4.638751516;4.600256751
2012/05;103.899;100.6;122.98492;123.8630852;107.3639274;104.7794667;4.819176804;4.676224254;4.651857824
2012/06;104.378;98.7;124.58092;124.4341246;105.3361793;106.1392109;4.823776456;4.657156943;4.664751543
2012/07;104.964;97.7;124.2071;125.1327239;104.2689434;105.8207274;4.829374965;4.646973556;4.661746412
2012/08;105.279;99.3;127.29091;125.5082508;105.9765208;108.4480412;4.8323715;4.663217568;4.686271175
2012/09;105.743;95;121.20039;126.0614079;101.3874066;103.2591006;4.836769153;4.618948888;4.63724137
2012/10;106.278;96.5;125.36884;126.6992076;102.9882604;106.8104951;4.841815833;4.634615005;4.671056191
2012/11;107;97.4;132.04393;127.5599392;103.9487727;112.4974718;4.848586365;4.643898207;4.722930748
2012/12;107.246;117.7;153.07916;127.8532078;125.6136606;130.4188574;4.850882792;4.833211011;4.870751251
2013/01;107.678;96.9;124.93709;128.3682162;103.4151547;106.442657;4.854902823;4.638751516;4.667606409
2013/02;108.208;93.4;113.83821;129.0000551;99.67982924;96.98674386;4.859812832;4.601963342;4.574574308
2013/03;109.002;97.2;118.41961;129.9466214;103.7353255;100.8899594;4.867123761;4.641842708;4.614030412
2013/04;109.074;96.2;119.77389;130.0324561;102.6680896;102.0437654;4.867784082;4.631501354;4.625401793
2013/05;108.711;100.7;123.10068;129.599706;107.470651;104.8780908;4.864450516;4.677217796;4.652798635
2013/06;108.645;97.2;122.23392;129.5210242;103.7353255;104.1396372;4.863843217;4.641842708;4.645732664
2013/07;108.609;99.5;125.83234;129.4781068;106.189968;107.2053832;4.863511808;4.665229641;4.674746464
